epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.865,1.99205,1.63942,1.20007,0.79957,0.74772,0.75875,0.31676,1.85644,1.2224,1.20918,0.000666009,0.000666009,0.000666009
2,314.044,1.8402,1.23841,1.1451,0.79235,0.78028,0.76362,0.34174,1.7239,1.1581,1.1494,0.00126671,0.00126671,0.00126671
3,444.167,1.80054,1.2074,1.13078,0.8043,0.77264,0.7721,0.35068,1.68832,1.13586,1.14212,0.00180141,0.00180141,0.00180141
4,631.384,1.74916,1.16456,1.113,0.8128,0.79728,0.79909,0.38963,1.61356,1.11397,1.11817,0.001703,0.001703,0.001703
5,830.512,1.70842,1.13995,1.09863,0.80857,0.79171,0.78557,0.38985,1.5916,1.11957,1.11118,0.001604,0.001604,0.001604
6,1024.84,1.6745,1.12253,1.08553,0.81586,0.79616,0.81682,0.4116,1.55106,1.0936,1.09618,0.001505,0.001505,0.001505
7,1219.6,1.64374,1.109,1.07727,0.81538,0.79923,0.80634,0.40792,1.54125,1.07924,1.08162,0.001406,0.001406,0.001406
8,1416.66,1.62658,1.10191,1.07245,0.80527,0.81755,0.82602,0.42702,1.50666,1.03308,1.08817,0.001307,0.001307,0.001307
9,1609.95,1.6077,1.08841,1.06869,0.80983,0.82221,0.84094,0.43838,1.4989,1.03284,1.06929,0.001208,0.001208,0.001208
10,1799.03,1.58749,1.06906,1.06007,0.81252,0.84123,0.8579,0.45173,1.46767,1.00367,1.07037,0.001109,0.001109,0.001109
11,2008.36,1.49548,1.02613,1.08892,0.8188,0.83725,0.85552,0.46045,1.42836,0.98643,1.05379,0.00101,0.00101,0.00101
12,2191.46,1.4655,0.99267,1.08103,0.84354,0.85295,0.88342,0.49227,1.40311,0.93992,1.043,0.000911,0.000911,0.000911
13,2383.18,1.43809,0.96121,1.06868,0.8654,0.86766,0.89033,0.51361,1.3585,0.90751,1.03033,0.000812,0.000812,0.000812
14,2573.74,1.41225,0.91957,1.06065,0.8831,0.87991,0.91101,0.53685,1.33572,0.85455,1.0247,0.000713,0.000713,0.000713
15,2764.15,1.38853,0.88256,1.0526,0.89504,0.89595,0.92507,0.55007,1.32717,0.83811,1.01917,0.000614,0.000614,0.000614
16,2955.31,1.36004,0.85387,1.04523,0.90365,0.9025,0.93808,0.57966,1.28222,0.76914,1.00798,0.000515,0.000515,0.000515
17,3151.85,1.33128,0.80903,1.03484,0.91774,0.91387,0.94854,0.59282,1.25739,0.74274,0.99896,0.000416,0.000416,0.000416
18,3348.85,1.30743,0.77249,1.02612,0.92543,0.92018,0.95318,0.60936,1.23381,0.70467,0.9943,0.000317,0.000317,0.000317
19,3545.83,1.28306,0.74733,1.01865,0.92957,0.92629,0.96003,0.61996,1.20876,0.68785,0.98562,0.000218,0.000218,0.000218
20,3739.64,1.2593,0.71949,1.0118,0.93518,0.92663,0.96018,0.62588,1.19853,0.6688,0.98353,0.000119,0.000119,0.000119
